¥éËweb-scraper-order,web-scraper-start-url,notelink,notelink-href,familyname,notename
1574392090-885,https://www.fragrantica.com/notes/,Priprioca,https://www.fragrantica.com/notes/Priprioca-729.html,SPICES,Priprioca
1574392732-1045,https://www.fragrantica.com/notes/,Asparagus,https://www.fragrantica.com/notes/Asparagus-621.html,"GREENS, HERBS AND FOUGERES",Asparagus
1574392172-908,https://www.fragrantica.com/notes/,Cumin,https://www.fragrantica.com/notes/Cumin-549.html,SPICES,Cumin
1574390889-620,https://www.fragrantica.com/notes/,Curacao,https://www.fragrantica.com/notes/Curacao-220.html,BEVERAGES,Curacao
1574392387-953,https://www.fragrantica.com/notes/,Rye,https://www.fragrantica.com/notes/Rye-847.html,"GREENS, HERBS AND FOUGERES",Rye
1574390757-580,https://www.fragrantica.com/notes/,Brown Scotch Tape,https://www.fragrantica.com/notes/Brown-Scotch-Tape-511.html,SYNTHETIC,Brown Scotch Tape
1574390580-525,https://www.fragrantica.com/notes/,Motor Oil,https://www.fragrantica.com/notes/Motor-Oil-938.html,SYNTHETIC,Motor Oil
1574393731-1309,https://www.fragrantica.com/notes/,Sea Buckthorn,https://www.fragrantica.com/notes/Sea-Buckthorn-871.html,"FRUITS, VEGETABLES AND NUTS",Sea Buckthorn
1574392073-880,https://www.fragrantica.com/notes/,Spicy Notes,https://www.fragrantica.com/notes/Spicy-Notes-321.html,SPICES,Spicy Notes
1574390486-499,https://www.fragrantica.com/notes/,Spray paint,https://www.fragrantica.com/notes/Spray-paint-998.html,SYNTHETIC,Spray paint
1574393608-1274,https://www.fragrantica.com/notes/,Belladona,https://www.fragrantica.com/notes/Belladona-496.html,FLOWERS,Belladona
1574392767-1054,https://www.fragrantica.com/notes/,White Tobacco,https://www.fragrantica.com/notes/White-Tobacco-345.html,WHITE FLOWERS,White Tobacco
1574393742-1312,https://www.fragrantica.com/notes/,Red Fruits,https://www.fragrantica.com/notes/Red-Fruits-726.html,"FRUITS, VEGETABLES AND NUTS",Red Fruits
1574393197-1170,https://www.fragrantica.com/notes/,Lime (Linden) Blossom,https://www.fragrantica.com/notes/Lime-Linden-Blossom-288.html,FLOWERS,Lime (Linden) Blossom
1574392643-1019,https://www.fragrantica.com/notes/,Creosote Bush,https://www.fragrantica.com/notes/Creosote-Bush-811.html,"GREENS, HERBS AND FOUGERES",Creosote Bush
1574391004-655,https://www.fragrantica.com/notes/,Coral Reef,https://www.fragrantica.com/notes/Coral-Reef-708.html,"MUSK, AMBER, ANIMALIC SMELLS",Coral Reef
1574394072-1407,https://www.fragrantica.com/notes/,Acai berry,https://www.fragrantica.com/notes/Acai-berry-596.html,"FRUITS, VEGETABLES AND NUTS",Acai berry
1574393797-1328,https://www.fragrantica.com/notes/,Pear,https://www.fragrantica.com/notes/Pear-182.html,"FRUITS, VEGETABLES AND NUTS",Pear
1574390644-545,https://www.fragrantica.com/notes/,Ice,https://www.fragrantica.com/notes/Ice-856.html,SYNTHETIC,Ice
1574391180-701,https://www.fragrantica.com/notes/,Choya Nakh,https://www.fragrantica.com/notes/Choya-Nakh-838.html,RESINS AND BALSAMS,Choya Nakh
1574393959-1376,https://www.fragrantica.com/notes/,Cucumber,https://www.fragrantica.com/notes/Cucumber-126.html,"FRUITS, VEGETABLES AND NUTS",Cucumber
1574391821-812,https://www.fragrantica.com/notes/,Spun sugar,https://www.fragrantica.com/notes/Spun-sugar-530.html,SWEETS AND GOURMAND SMELLS,Spun sugar
1574392221-919,https://www.fragrantica.com/notes/,Caraway,https://www.fragrantica.com/notes/Caraway-121.html,SPICES,Caraway
1574390711-566,https://www.fragrantica.com/notes/,Coumarin,https://www.fragrantica.com/notes/Coumarin-259.html,SYNTHETIC,Coumarin
1574393706-1301,https://www.fragrantica.com/notes/,Tayberry,https://www.fragrantica.com/notes/Tayberry-330.html,"FRUITS, VEGETABLES AND NUTS",Tayberry
1574392166-906,https://www.fragrantica.com/notes/,Curry tree,https://www.fragrantica.com/notes/Curry-tree-417.html,SPICES,Curry tree
1574391957-848,https://www.fragrantica.com/notes/,Custard,https://www.fragrantica.com/notes/Custard-517.html,SWEETS AND GOURMAND SMELLS,Custard
1574392602-1007,https://www.fragrantica.com/notes/,Green Notes,https://www.fragrantica.com/notes/Green-Notes-318.html,"GREENS, HERBS AND FOUGERES",Green Notes
1574393868-1349,https://www.fragrantica.com/notes/,Kumbaru,https://www.fragrantica.com/notes/Kumbaru-616.html,"FRUITS, VEGETABLES AND NUTS",Kumbaru
1574393858-1346,https://www.fragrantica.com/notes/,Malt,https://www.fragrantica.com/notes/Malt-480.html,"FRUITS, VEGETABLES AND NUTS",Malt
1574390751-578,https://www.fragrantica.com/notes/,Calone,https://www.fragrantica.com/notes/Calone-423.html,SYNTHETIC,Calone
1574390773-585,https://www.fragrantica.com/notes/,Amyl Salicylate,https://www.fragrantica.com/notes/Amyl-Salicylate-347.html,SYNTHETIC,Amyl Salicylate
1574390766-583,https://www.fragrantica.com/notes/,Asphalt,https://www.fragrantica.com/notes/Asphalt-556.html,SYNTHETIC,Asphalt
1574393174-1164,https://www.fragrantica.com/notes/,Mango blossom,https://www.fragrantica.com/notes/Mango-blossom-380.html,FLOWERS,Mango blossom
1574393112-1146,https://www.fragrantica.com/notes/,Olive flower,https://www.fragrantica.com/notes/Olive-flower-427.html,FLOWERS,Olive flower
1574392195-914,https://www.fragrantica.com/notes/,Cinnamon Leaf,https://www.fragrantica.com/notes/Cinnamon-Leaf-868.html,SPICES,Cinnamon Leaf
1574391762-795,https://www.fragrantica.com/notes/,Aspen,https://www.fragrantica.com/notes/Aspen-613.html,WOODS AND MOSSES,Aspen
1574391642-768,https://www.fragrantica.com/notes/,Dry Wood,https://www.fragrantica.com/notes/Dry-Wood-1012.html,WOODS AND MOSSES,Dry Wood
1574391175-700,https://www.fragrantica.com/notes/,Choya Ral,https://www.fragrantica.com/notes/Choya-Ral-840.html,RESINS AND BALSAMS,Choya Ral
1574391896-830,https://www.fragrantica.com/notes/,Maraschino Cherry,https://www.fragrantica.com/notes/Maraschino-Cherry-781.html,SWEETS AND GOURMAND SMELLS,Maraschino Cherry
1574393842-1341,https://www.fragrantica.com/notes/,Melon,https://www.fragrantica.com/notes/Melon-172.html,"FRUITS, VEGETABLES AND NUTS",Melon
1574392413-959,https://www.fragrantica.com/notes/,Rooibos Red Tea,https://www.fragrantica.com/notes/Rooibos-Red-Tea-441.html,"GREENS, HERBS AND FOUGERES",Rooibos Red Tea
1574394017-1390,https://www.fragrantica.com/notes/,Brazil nut,https://www.fragrantica.com/notes/Brazil-nut-533.html,"FRUITS, VEGETABLES AND NUTS",Brazil nut
1574393768-1319,https://www.fragrantica.com/notes/,Pomegranate,https://www.fragrantica.com/notes/Pomegranate-193.html,"FRUITS, VEGETABLES AND NUTS",Pomegranate
1574393781-1323,https://www.fragrantica.com/notes/,Pistachio,https://www.fragrantica.com/notes/Pistachio-221.html,"FRUITS, VEGETABLES AND NUTS",Pistachio
1574393126-1150,https://www.fragrantica.com/notes/,Nasturcia,https://www.fragrantica.com/notes/Nasturcia-384.html,FLOWERS,Nasturcia
1574391804-807,https://www.fragrantica.com/notes/,White Chocolate,https://www.fragrantica.com/notes/White-Chocolate-168.html,SWEETS AND GOURMAND SMELLS,White Chocolate
1574393122-1149,https://www.fragrantica.com/notes/,Nectarine blossom,https://www.fragrantica.com/notes/Nectarine-blossom-635.html,FLOWERS,Nectarine blossom
1574391981-855,https://www.fragrantica.com/notes/,Coconut Water,https://www.fragrantica.com/notes/Coconut-Pie-931.html,"FRUITS, VEGETABLES AND NUTS",Coconut Water
1574391203-704,https://www.fragrantica.com/notes/,Bushman Candle,https://www.fragrantica.com/notes/Bushman-Candle-865.html,RESINS AND BALSAMS,Bushman Candle
1574394069-1406,https://www.fragrantica.com/notes/,Acerola,https://www.fragrantica.com/notes/Acerola-673.html,"FRUITS, VEGETABLES AND NUTS",Acerola
1574391062-671,https://www.fragrantica.com/notes/,Ambretone,https://www.fragrantica.com/notes/Ambretone-351.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambretone
1574390754-579,https://www.fragrantica.com/notes/,Burnt Match,https://www.fragrantica.com/notes/Burnt-Match-657.html,SYNTHETIC,Burnt Match
1574393804-1330,https://www.fragrantica.com/notes/,Peach,https://www.fragrantica.com/notes/Peach-117.html,"FRUITS, VEGETABLES AND NUTS",Peach
1574393109-1145,https://www.fragrantica.com/notes/,Opium,https://www.fragrantica.com/notes/Opium-340.html,FLOWERS,Opium
1574392790-1060,https://www.fragrantica.com/notes/,Stephanotis,https://www.fragrantica.com/notes/Stephanotis-111.html,WHITE FLOWERS,Stephanotis
1574392124-894,https://www.fragrantica.com/notes/,Nutmeg,https://www.fragrantica.com/notes/Nutmeg-59.html,SPICES,Nutmeg
1574390801-594,https://www.fragrantica.com/notes/,Tokaji wine,https://www.fragrantica.com/notes/Tokaji-wine-652.html,BEVERAGES,Tokaji wine
1574391592-753,https://www.fragrantica.com/notes/,Lichen,https://www.fragrantica.com/notes/Lichen-667.html,WOODS AND MOSSES,Lichen
1574390697-562,https://www.fragrantica.com/notes/,Earthy Notes,https://www.fragrantica.com/notes/Earthy-Notes-801.html,SYNTHETIC,Earthy Notes
1574393289-1193,https://www.fragrantica.com/notes/,Hyssop,https://www.fragrantica.com/notes/Hyssop-426.html,FLOWERS,Hyssop
1574391905-833,https://www.fragrantica.com/notes/,Loukhoum,https://www.fragrantica.com/notes/Loukhoum-694.html,SWEETS AND GOURMAND SMELLS,Loukhoum
1574393261-1188,https://www.fragrantica.com/notes/,Jasmine Orchid,https://www.fragrantica.com/notes/Jasmine-Orchid-995.html,FLOWERS,Jasmine Orchid
1574393827-1337,https://www.fragrantica.com/notes/,Nashi Pear,https://www.fragrantica.com/notes/Nashi-Pear-1010.html,"FRUITS, VEGETABLES AND NUTS",Nashi Pear
1574392866-1077,https://www.fragrantica.com/notes/,Black Locust,https://www.fragrantica.com/notes/Black-Locust-296.html,WHITE FLOWERS,Black Locust
1574393493-1241,https://www.fragrantica.com/notes/,Crinum lily,https://www.fragrantica.com/notes/Crinum-lily-659.html,FLOWERS,Crinum lily
1574393549-1255,https://www.fragrantica.com/notes/,Cherry Blossom,https://www.fragrantica.com/notes/Cherry-Blossom-298.html,FLOWERS,Cherry Blossom
1574392749-1049,https://www.fragrantica.com/notes/,Angelica,https://www.fragrantica.com/notes/Angelica-44.html,"GREENS, HERBS AND FOUGERES",Angelica
1574393340-1207,https://www.fragrantica.com/notes/,Hazel Blossom,https://www.fragrantica.com/notes/Hazel-Blossom-1015.html,FLOWERS,Hazel Blossom
1574392489-978,https://www.fragrantica.com/notes/,Mistletoe,https://www.fragrantica.com/notes/Mistletoe-516.html,"GREENS, HERBS AND FOUGERES",Mistletoe
1574391099-682,https://www.fragrantica.com/notes/,Poplar (Populus) buds,https://www.fragrantica.com/notes/Poplar-Populus-buds-540.html,RESINS AND BALSAMS,Poplar (Populus) buds
1574392656-1023,https://www.fragrantica.com/notes/,Centella Asiatica,https://www.fragrantica.com/notes/Centella-Asiatica-606.html,"GREENS, HERBS AND FOUGERES",Centella Asiatica
1574392736-1046,https://www.fragrantica.com/notes/,Artemisia,https://www.fragrantica.com/notes/Artemisia-47.html,"GREENS, HERBS AND FOUGERES",Artemisia
1574391452-728,https://www.fragrantica.com/notes/,Red Willow,https://www.fragrantica.com/notes/Red-Willow-952.html,WOODS AND MOSSES,Red Willow
1574393178-1165,https://www.fragrantica.com/notes/,Malva,https://www.fragrantica.com/notes/Malva-804.html,FLOWERS,Malva
1574393530-1250,https://www.fragrantica.com/notes/,Christmas Tree or Flame Tree,https://www.fragrantica.com/notes/Christmas-Tree-or-Flame-Tree-502.html,FLOWERS,Christmas Tree or Flame Tree
1574390532-511,https://www.fragrantica.com/notes/,Powdery notes,https://www.fragrantica.com/notes/Powdery-notes-482.html,SYNTHETIC,Powdery notes
1574392559-995,https://www.fragrantica.com/notes/,Juniper,https://www.fragrantica.com/notes/Juniper-142.html,"GREENS, HERBS AND FOUGERES",Juniper
1574392127-895,https://www.fragrantica.com/notes/,Nigella,https://www.fragrantica.com/notes/Nigella-874.html,SPICES,Nigella
1574391650-770,https://www.fragrantica.com/notes/,Cypriol Oil or Nagarmotha,https://www.fragrantica.com/notes/Cypriol-Oil-or-Nagarmotha-406.html,WOODS AND MOSSES,Cypriol Oil or Nagarmotha
1574392427-962,https://www.fragrantica.com/notes/,Red Algae,https://www.fragrantica.com/notes/Red-Algae-704.html,"GREENS, HERBS AND FOUGERES",Red Algae
1574393682-1294,https://www.fragrantica.com/notes/,White Currant,https://www.fragrantica.com/notes/White-Currant-219.html,"FRUITS, VEGETABLES AND NUTS",White Currant
1574393975-1377,https://www.fragrantica.com/notes/,Cranberry,https://www.fragrantica.com/notes/Cranberry-274.html,"FRUITS, VEGETABLES AND NUTS",Cranberry
1574390655-548,https://www.fragrantica.com/notes/,Hedione,https://www.fragrantica.com/notes/Hedione-640.html,SYNTHETIC,Hedione
1574394077-1408,https://www.fragrantica.com/notes/,Yuzu,https://www.fragrantica.com/notes/Yuzu-83.html,CITRUS SMELLS,Yuzu
1574392180-910,https://www.fragrantica.com/notes/,Coriander,https://www.fragrantica.com/notes/Coriander-64.html,SPICES,Coriander
1574393424-1230,https://www.fragrantica.com/notes/,Dyer's Greenweed,https://www.fragrantica.com/notes/Dyer-s-Greenweed-238.html,FLOWERS,Dyer's Greenweed
1574392471-973,https://www.fragrantica.com/notes/,Oolong tea,https://www.fragrantica.com/notes/Oolong-tea-713.html,"GREENS, HERBS AND FOUGERES",Oolong tea
1574391613-759,https://www.fragrantica.com/notes/,Indian Oud,https://www.fragrantica.com/notes/Indian-Oud-759.html,WOODS AND MOSSES,Indian Oud
1574390790-590,https://www.fragrantica.com/notes/,Whiskey,https://www.fragrantica.com/notes/Whiskey-210.html,BEVERAGES,Whiskey
1574394139-1424,https://www.fragrantica.com/notes/,Lemon Balm,https://www.fragrantica.com/notes/Lemon-Balm-375.html,CITRUS SMELLS,Lemon Balm
1574392370-949,https://www.fragrantica.com/notes/,Seaweed,https://www.fragrantica.com/notes/Seaweed-409.html,"GREENS, HERBS AND FOUGERES",Seaweed
1574394155-1429,https://www.fragrantica.com/notes/,Hassaku,https://www.fragrantica.com/notes/Hassaku-445.html,CITRUS SMELLS,Hassaku
1574390819-600,https://www.fragrantica.com/notes/,Red Wine,https://www.fragrantica.com/notes/Red-Wine-464.html,BEVERAGES,Red Wine
1574393519-1247,https://www.fragrantica.com/notes/,Clover,https://www.fragrantica.com/notes/Clover-125.html,FLOWERS,Clover
1574393372-1216,https://www.fragrantica.com/notes/,Geranium,https://www.fragrantica.com/notes/Geranium-21.html,FLOWERS,Geranium
1574390500-503,https://www.fragrantica.com/notes/,Leather Accord,https://www.fragrantica.com/notes/Smoke-735.html,"MUSK, AMBER, ANIMALIC SMELLS",Leather Accord
1574393068-1135,https://www.fragrantica.com/notes/,Peach Blossom,https://www.fragrantica.com/notes/Peach-Blossom-239.html,FLOWERS,Peach Blossom
1574393243-1182,https://www.fragrantica.com/notes/,Lady of the Night Flower,https://www.fragrantica.com/notes/Lady-of-the-Night-Flower-750.html,FLOWERS,Lady of the Night Flower
1574393024-1122,https://www.fragrantica.com/notes/,Primrose,https://www.fragrantica.com/notes/Primrose-452.html,FLOWERS,Primrose
1574392993-1112,https://www.fragrantica.com/notes/,Rose Hip,https://www.fragrantica.com/notes/Rose-Hip-202.html,FLOWERS,Rose Hip
1574391581-750,https://www.fragrantica.com/notes/,Maple,https://www.fragrantica.com/notes/Maple-305.html,WOODS AND MOSSES,Maple
1574393157-1159,https://www.fragrantica.com/notes/,Mignonette,https://www.fragrantica.com/notes/Mignonette-226.html,FLOWERS,Mignonette
1574390666-552,https://www.fragrantica.com/notes/,Geosmin,https://www.fragrantica.com/notes/Geosmin-546.html,SYNTHETIC,Geosmin
1574392339-945,https://www.fragrantica.com/notes/,Skunk Cabbage,https://www.fragrantica.com/notes/Skunk-Cabbage-493.html,"GREENS, HERBS AND FOUGERES",Skunk Cabbage
1574392915-1089,https://www.fragrantica.com/notes/,Violet Woodsorrel,https://www.fragrantica.com/notes/Violet-Woodsorrel-433.html,FLOWERS,Violet Woodsorrel
1574393637-1281,https://www.fragrantica.com/notes/,Anemone,https://www.fragrantica.com/notes/Anemone-244.html,FLOWERS,Anemone
1574393817-1334,https://www.fragrantica.com/notes/,Osmanthus,https://www.fragrantica.com/notes/Osmanthus-10.html,"FRUITS, VEGETABLES AND NUTS",Osmanthus
1574390744-576,https://www.fragrantica.com/notes/,Caoutchouc,https://www.fragrantica.com/notes/Caoutchouc-620.html,SYNTHETIC,Caoutchouc
1574393375-1217,https://www.fragrantica.com/notes/,Fuchsia,https://www.fragrantica.com/notes/Fuchsia-272.html,FLOWERS,Fuchsia
1574390895-622,https://www.fragrantica.com/notes/,Cosmopolitan cocktail,https://www.fragrantica.com/notes/Cosmopolitan-cocktail-648.html,BEVERAGES,Cosmopolitan cocktail
1574392819-1068,https://www.fragrantica.com/notes/,Karo-Karounde,https://www.fragrantica.com/notes/Karo-Karounde-295.html,WHITE FLOWERS,Karo-Karounde
1574393590-1268,https://www.fragrantica.com/notes/,Bougainvillea,https://www.fragrantica.com/notes/Bougainvillea-466.html,FLOWERS,Bougainvillea
1574391079-676,https://www.fragrantica.com/notes/,Amber,https://www.fragrantica.com/notes/Amber-54.html,"MUSK, AMBER, ANIMALIC SMELLS",Amber
1574390694-561,https://www.fragrantica.com/notes/,Ember,https://www.fragrantica.com/notes/Ember-589.html,SYNTHETIC,Ember
1574390562-520,https://www.fragrantica.com/notes/,Paper,https://www.fragrantica.com/notes/Paper-756.html,SYNTHETIC,Paper
1574393164-1161,https://www.fragrantica.com/notes/,Meadowsweet,https://www.fragrantica.com/notes/Meadowsweet-849.html,FLOWERS,Meadowsweet
1574391089-679,https://www.fragrantica.com/notes/,Styrax,https://www.fragrantica.com/notes/Styrax-67.html,RESINS AND BALSAMS,Styrax
1574392031-869,https://www.fragrantica.com/notes/,Agave nectar,https://www.fragrantica.com/notes/Agave-nectar-888.html,SWEETS AND GOURMAND SMELLS,Agave nectar
1574392017-865,https://www.fragrantica.com/notes/,Brown sugar,https://www.fragrantica.com/notes/Brown-sugar-521.html,SWEETS AND GOURMAND SMELLS,Brown sugar
1574393695-1298,https://www.fragrantica.com/notes/,Umbu-Cajíç | Taperebíç,https://www.fragrantica.com/notes/Umbu-Caja-Tapereba-782.html,"FRUITS, VEGETABLES AND NUTS",Umbu-Cajíç | Taperebíç
1574390637-543,https://www.fragrantica.com/notes/,Industrial Glue,https://www.fragrantica.com/notes/Industrial-Glue-512.html,SYNTHETIC,Industrial Glue
1574393653-1286,https://www.fragrantica.com/notes/,Aglaia,https://www.fragrantica.com/notes/Aglaia-414.html,FLOWERS,Aglaia
1574393022-1121,https://www.fragrantica.com/notes/,Princess Tree (Paulownia),https://www.fragrantica.com/notes/Princess-Tree-Paulownia-112.html,FLOWERS,Princess Tree (Paulownia)
1574391886-827,https://www.fragrantica.com/notes/,Marshmallow,https://www.fragrantica.com/notes/Marshmallow-236.html,SWEETS AND GOURMAND SMELLS,Marshmallow
1574393390-1221,https://www.fragrantica.com/notes/,Floral Notes,https://www.fragrantica.com/notes/Floral-Notes-314.html,FLOWERS,Floral Notes
1574393948-1373,https://www.fragrantica.com/notes/,Cyperus scariosus,https://www.fragrantica.com/notes/Cyperus-scariosus-460.html,"FRUITS, VEGETABLES AND NUTS",Cyperus scariosus
1574394107-1415,https://www.fragrantica.com/notes/,Methyl Pamplemousse,https://www.fragrantica.com/notes/Methyl-Pamplemousse-467.html,CITRUS SMELLS,Methyl Pamplemousse
1574390983-649,https://www.fragrantica.com/notes/,Leather,https://www.fragrantica.com/notes/Leather-156.html,"MUSK, AMBER, ANIMALIC SMELLS",Leather
1574392519-984,https://www.fragrantica.com/notes/,Marigold,https://www.fragrantica.com/notes/Marigold-153.html,"GREENS, HERBS AND FOUGERES",Marigold
1574392283-934,https://www.fragrantica.com/notes/,Tobacco,https://www.fragrantica.com/notes/Tobacco-96.html,"GREENS, HERBS AND FOUGERES",Tobacco
1574393380-1218,https://www.fragrantica.com/notes/,Freesia,https://www.fragrantica.com/notes/Freesia-94.html,FLOWERS,Freesia
1574390780-587,https://www.fragrantica.com/notes/,Aldehyde,https://www.fragrantica.com/notes/Aldehydes-165.html,SYNTHETIC,Aldehyde
1574392434-964,https://www.fragrantica.com/notes/,Polygonum,https://www.fragrantica.com/notes/Polygonum-1000.html,"GREENS, HERBS AND FOUGERES",Polygonum
1574392051-874,https://www.fragrantica.com/notes/,Vanilla,https://www.fragrantica.com/notes/Vanilla-74.html,SPICES,Vanilla
1574393416-1228,https://www.fragrantica.com/notes/,Eglantine Rose,https://www.fragrantica.com/notes/Eglantine-Rose-977.html,FLOWERS,Eglantine Rose
1574390615-536,https://www.fragrantica.com/notes/,Lava,https://www.fragrantica.com/notes/Lava-833.html,SYNTHETIC,Lava
1574390661-550,https://www.fragrantica.com/notes/,Glycine,https://www.fragrantica.com/notes/Gunpowder-485.html,SYNTHETIC,Glycine
1574393309-1199,https://www.fragrantica.com/notes/,Hollyhock,https://www.fragrantica.com/notes/Hollyhock-705.html,FLOWERS,Hollyhock
1574391216-706,https://www.fragrantica.com/notes/,Birch Tar,https://www.fragrantica.com/notes/Birch-Tar-862.html,RESINS AND BALSAMS,Birch Tar
1574392133-897,https://www.fragrantica.com/notes/,Mace,https://www.fragrantica.com/notes/Mace-538.html,SPICES,Mace
1574392423-961,https://www.fragrantica.com/notes/,Reed,https://www.fragrantica.com/notes/Reed-383.html,"GREENS, HERBS AND FOUGERES",Reed
1574393264-1189,https://www.fragrantica.com/notes/,Jade Flower,https://www.fragrantica.com/notes/Jade-Flower-629.html,FLOWERS,Jade Flower
1574392248-925,https://www.fragrantica.com/notes/,Yunnan Red Tea,https://www.fragrantica.com/notes/Yunnan-Red-Tea-442.html,"GREENS, HERBS AND FOUGERES",Yunnan Red Tea
1574391001-654,https://www.fragrantica.com/notes/,Daim,https://www.fragrantica.com/notes/Daim-825.html,"MUSK, AMBER, ANIMALIC SMELLS",Daim
1574393891-1356,https://www.fragrantica.com/notes/,Guava,https://www.fragrantica.com/notes/Guava-177.html,"FRUITS, VEGETABLES AND NUTS",Guava
1574393453-1234,https://www.fragrantica.com/notes/,Desert Rose,https://www.fragrantica.com/notes/Desert-Rose-469.html,FLOWERS,Desert Rose
1574393794-1327,https://www.fragrantica.com/notes/,Pecan,https://www.fragrantica.com/notes/Pecan-1022.html,"FRUITS, VEGETABLES AND NUTS",Pecan
1574391748-791,https://www.fragrantica.com/notes/,Beech,https://www.fragrantica.com/notes/Beech-586.html,WOODS AND MOSSES,Beech
1574392244-924,https://www.fragrantica.com/notes/,Allspice,https://www.fragrantica.com/notes/Allspice-122.html,SPICES,Allspice
1574391608-758,https://www.fragrantica.com/notes/,Indian woods,https://www.fragrantica.com/notes/Indian-woods-807.html,WOODS AND MOSSES,Indian woods
1574391689-778,https://www.fragrantica.com/notes/,Cashmir wood,https://www.fragrantica.com/notes/Cashmir-wood-343.html,WOODS AND MOSSES,Cashmir wood
1574392577-1001,https://www.fragrantica.com/notes/,Henna,https://www.fragrantica.com/notes/Henna-741.html,"GREENS, HERBS AND FOUGERES",Henna
1574390770-584,https://www.fragrantica.com/notes/,Ash,https://www.fragrantica.com/notes/Ash-627.html,SYNTHETIC,Ash
1574392672-1027,https://www.fragrantica.com/notes/,Cannabis,https://www.fragrantica.com/notes/Cannabis-363.html,"GREENS, HERBS AND FOUGERES",Cannabis
1574393865-1348,https://www.fragrantica.com/notes/,Litchi,https://www.fragrantica.com/notes/Litchi-194.html,"FRUITS, VEGETABLES AND NUTS",Litchi
1574392597-1006,https://www.fragrantica.com/notes/,Green Pepper,https://www.fragrantica.com/notes/Green-Pepper-488.html,"GREENS, HERBS AND FOUGERES",Green Pepper
1574390503-504,https://www.fragrantica.com/notes/,Slate,https://www.fragrantica.com/notes/Slate-459.html,SYNTHETIC,Slate
1574390718-568,https://www.fragrantica.com/notes/,Coranol,https://www.fragrantica.com/notes/Coranol-895.html,SYNTHETIC,Coranol
1574390979-648,https://www.fragrantica.com/notes/,Meat,https://www.fragrantica.com/notes/Meat-513.html,"MUSK, AMBER, ANIMALIC SMELLS",Meat
1574392684-1031,https://www.fragrantica.com/notes/,Burdock,https://www.fragrantica.com/notes/Burdock-959.html,"GREENS, HERBS AND FOUGERES",Burdock
1574391048-667,https://www.fragrantica.com/notes/,Ambroxan,https://www.fragrantica.com/notes/Ambroxan-563.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambroxan
1574391966-851,https://www.fragrantica.com/notes/,CríÂme bríélí©e,https://www.fragrantica.com/notes/Creme-brulee-495.html,SWEETS AND GOURMAND SMELLS,CríÂme bríélí©e
1574393446-1233,https://www.fragrantica.com/notes/,Dianthus,https://www.fragrantica.com/notes/Dianthus-700.html,FLOWERS,Dianthus
1574390599-531,https://www.fragrantica.com/notes/,Magnolan,https://www.fragrantica.com/notes/Magnolan-964.html,SYNTHETIC,Magnolan
1574392239-923,https://www.fragrantica.com/notes/,Anise,https://www.fragrantica.com/notes/Anise-393.html,SPICES,Anise
1574392440-966,https://www.fragrantica.com/notes/,Peach Leaf,https://www.fragrantica.com/notes/Peach-Leaf-934.html,"GREENS, HERBS AND FOUGERES",Peach Leaf
1574394170-1433,https://www.fragrantica.com/notes/,Citruses,https://www.fragrantica.com/notes/Citruses-313.html,CITRUS SMELLS,Citruses
1574390544-515,https://www.fragrantica.com/notes/,Petalia,https://www.fragrantica.com/notes/Petalia-617.html,SYNTHETIC,Petalia
1574391193-703,https://www.fragrantica.com/notes/,Cade oil,https://www.fragrantica.com/notes/Cade-oil-810.html,RESINS AND BALSAMS,Cade oil
1574391412-725,https://www.fragrantica.com/notes/,Satinwood,https://www.fragrantica.com/notes/Satinwood-332.html,WOODS AND MOSSES,Satinwood
1574393526-1249,https://www.fragrantica.com/notes/,Chrysanthemum,https://www.fragrantica.com/notes/Chrysanthemum-211.html,FLOWERS,Chrysanthemum
1574393087-1140,https://www.fragrantica.com/notes/,Pansy,https://www.fragrantica.com/notes/Pansy-425.html,FLOWERS,Pansy
1574392148-901,https://www.fragrantica.com/notes/,Ginger,https://www.fragrantica.com/notes/Ginger-62.html,SPICES,Ginger
1574393071-1136,https://www.fragrantica.com/notes/,Pataqueira,https://www.fragrantica.com/notes/Pataqueira-732.html,FLOWERS,Pataqueira
1574394007-1387,https://www.fragrantica.com/notes/,Cashew,https://www.fragrantica.com/notes/Cashew-1009.html,"FRUITS, VEGETABLES AND NUTS",Cashew
1574392256-927,https://www.fragrantica.com/notes/,Wormwood,https://www.fragrantica.com/notes/Wormwood-369.html,"GREENS, HERBS AND FOUGERES",Wormwood
1574390964-644,https://www.fragrantica.com/notes/,Sea shells,https://www.fragrantica.com/notes/Sea-shells-410.html,"MUSK, AMBER, ANIMALIC SMELLS",Sea shells
1574393554-1256,https://www.fragrantica.com/notes/,Champaca,https://www.fragrantica.com/notes/Champaca-243.html,FLOWERS,Champaca
1574393838-1340,https://www.fragrantica.com/notes/,Mirabelle,https://www.fragrantica.com/notes/Mirabelle-491.html,"FRUITS, VEGETABLES AND NUTS",Mirabelle
1574390483-498,https://www.fragrantica.com/notes/,Talc,https://www.fragrantica.com/notes/Talc-976.html,SYNTHETIC,Talc
1574390648-546,https://www.fragrantica.com/notes/,Hot iron,https://www.fragrantica.com/notes/Hot-iron-591.html,SYNTHETIC,Hot iron
1574390867-612,https://www.fragrantica.com/notes/,Lemonade,https://www.fragrantica.com/notes/Lemonade-455.html,BEVERAGES,Lemonade
