Relationship Status,Which describes you best?,How happy are you right now in your relationship?  (label),How happy are you right now in your relationship? ,"In the past few months, how frequently have you thought about ending the relationship?  (label)","In the past few months, how frequently have you thought about ending the relationship? ","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)? (label)","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)?","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection? (label)","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection?",How frequently do you confide in each other? (label),How frequently do you confide in each other?,"How frequently do you enjoy a shared, fun activity that you both enjoy together? (label)","How frequently do you enjoy a shared, fun activity that you both enjoy together?","These days, our conversations feel meaningful and engaging. (label)","These days, our conversations feel meaningful and engaging.",How much do you and your partner laugh together these days? (label),How much do you and your partner laugh together these days?,"These days, I feel like my partner and I understand each other deeply. (label)","These days, I feel like my partner and I understand each other deeply.",How often does your partner show love in ways that feel meaningful to you? (label),How often does your partner show love in ways that feel meaningful to you?,"Over the past few months, when I've needed support, my partner was there for me. (label)","Over the past few months, when I've needed support, my partner was there for me.","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work. (label)","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work.","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger. (label)","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger.","These days, I really look forward to conversations together to improve our relationship. (label)","These days, I really look forward to conversations together to improve our relationship.","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship? (label)","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship?","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger? (label)","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger?","Currently, how eager are you to discuss relationship challenges with your partner? (label)","Currently, how eager are you to discuss relationship challenges with your partner?","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship? (label)","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship?",Which word best describes the current state of your relationship? (label),Which word best describes the current state of your relationship?,How aligned do you currently feel with your partner when it comes to your faith and spiritual beliefs?,"Outside of your partner, how strong is your current support system for your relationship? (mentors, close friends, or a community that encourages your relationship)",Check the top 3 issues you’d like to improve:,Relationship Status:  (label),Relationship Status: ,Relationship Status: ,How long have you been together? ,Which best describes you right now? ,How would you describe your faith right now?,How often do you experience a deep sense of connection with God in your daily life?,How long have you been attending our church? ,Kids (check all that apply),Your Age,Gender,Church Slug,HeartChart URL,38-pt COMMITMENT,10-pt Commitment,,40-pt CONNECTION,10-pt Connection,Relationship STATE
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Wish it was better,2,Wish it was better,2,Often,2,It’s our thing,4,Every now and then,2,"Often, we find reasons to laugh",3,"Kind of, we’re getting there",2,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Often,3,Sometimes,2,Somewhat eager,2,Very open,3,Strong,3,Completely aligned,Somewhat strong,"Communication, Conflict Management, Quality Time/Use of Free Time",Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,71,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,27,7,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Maybe once,2,It’s working well,3,Very satisfied,3,Often,2,It’s our thing,4,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Absolutely true for me,4,Always,4,Always,4,Often,3,Super eager,4,Very open,3,Uneven,1,Mostly aligned,Strong,"Communication, Spiritual Intimacy, Trust/Honesty",Dating,2,,0-2 years,I’m a Christian,I’m coming back to my faith after some time away,7,Less than a month,I have adult children,61-70,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,22,6,,29,7,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Often,2,We make it a point,3,Almost always,4,"All the time, laughter is big for us",4,We connect very well,3,"Sometimes, and I appreciate it",2,"Absolutely, always",4,Yes,3,Mostly true for me,3,Often,3,Sometimes,2,Sometimes,2,Somewhat eager,2,Somewhat open,2,Rock Solid,4,Completely aligned,Weak,"Quality Time/Use of Free Time, Romance/Sexual Fulfillment, Spiritual Intimacy",Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,61-70,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Rarely,3,It’s working well,3,Wish it was better,2,Consistently,3,It’s our thing,4,Quite often,3,"All the time, laughter is big for us",4,Without a doubt we are in sync,4,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Often,3,Always,4,Often,3,Super eager,4,Very open,3,Strong,3,Completely aligned,Strong,"Quality Time/Use of Free Time, Serving/Encouraging Each Other, Spiritual Intimacy",Dating,2,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,I don't have kids,18-24,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,33,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,It’s working well,3,100% satisfied,4,Consistently,3,We make it a point,3,Almost always,4,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Always,4,Always,4,Often,3,Very eager,3,Very open,3,Strong,3,Mostly aligned,Weak,"Communication, Forgiveness, Spiritual Intimacy",Dating,2,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,34,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Wish it was better,2,Very satisfied,3,No secrets here,4,When we get around to it,2,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,"Sometimes, and I appreciate it",2,Most of the time,3,Yes,3,Somewhat true for me,2,Always,4,Always,4,Always,4,Super eager,4,Very open,3,Strong,3,Completely aligned,Somewhat strong,"Communication, Conflict Management, Serving/Encouraging Each Other",Dating,2,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,5,6-12 months,I don't have kids,<18,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,22,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Absolutely, always",4,Absolutely 100%,4,Somewhat true for me,2,Often,3,Sometimes,2,Sometimes,2,Somewhat eager,2,Somewhat open,2,Rock Solid,4,Mostly aligned,Strong,Spiritual Intimacy,Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Yes,3,Mostly true for me,3,Often,3,Sometimes,2,Sometimes,2,Somewhat eager,2,Very open,3,Strong,3,Completely aligned,Somewhat strong,"Communication, Financial Management as a Team, Romance/Sexual Fulfillment",Married,0,,3-5 years,I’m a Christian,I’m coming back to my faith after some time away,10,Over a year,I don't have kids,61-70,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Perfectly happy,4,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Sometimes,2,Sometimes,2,Sometimes,2,Somewhat eager,2,Very open,3,Steady,2,Mostly aligned,Strong,"Communication, Conflict Management, Romance/Sexual Fulfillment",Married,0,,3-5 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I have kids 0-5,31-40,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,24,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Consistently,3,We make it a point,3,Every now and then,2,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Absolutely, always",4,Yes,3,Mostly true for me,3,Often,3,Always,4,Sometimes,2,Not at all eager,0,Very open,3,Strong,3,Completely aligned,Somewhat strong,"Communication, Serving/Encouraging Each Other, Spiritual Intimacy",Married,0,,3-5 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I don't have kids,25-30,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Always,4,Sometimes,2,Sometimes,2,Somewhat eager,2,Very open,3,Strong,3,Mostly aligned,Somewhat strong,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,I don't have kids,31-40,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Often,3,Sometimes,2,Somewhat eager,2,Very open,3,Strong,3,Mostly aligned,Strong,"Communication, Conflict Management, Financial Management as a Team",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have kids 0-5,51-60,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Always,4,Sometimes,2,Sometimes,2,Somewhat eager,2,Very open,3,Strong,3,Mostly aligned,Somewhat strong,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,I don't have kids,31-40,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Incredibly in sync,4,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"Sometimes, when the mood is right",2,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Somewhat true for me,2,Sometimes,2,Often,3,Sometimes,2,Somewhat eager,2,Slightly open,1,Strong,3,Completely aligned,Strong,Communication,Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,61-70,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Incredibly in sync,4,Very satisfied,3,Consistently,3,When we get around to it,2,Every now and then,2,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Sometimes, I guess",2,Absolutely 100%,4,Mostly true for me,3,Often,3,Often,3,Sometimes,2,Somewhat eager,2,Somewhat open,2,Rock Solid,4,Somewhat aligned,Very weak,"Communication, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,21-30 years,I’m a Christian,I’m coming back to my faith after some time away,3,Over a year,I have adult children,51-60,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Yes,3,Mostly true for me,3,Often,3,Often,3,Sometimes,2,Very eager,3,Somewhat open,2,Strong,3,Completely aligned,Strong,"Forgiveness, Spiritual Intimacy",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,71,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,Incredibly in sync,4,Very satisfied,3,Consistently,3,When we get around to it,2,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Somewhat true for me,2,Sometimes,2,Sometimes,2,Sometimes,2,Somewhat eager,2,Somewhat open,2,Rock Solid,4,Mostly aligned,Strong,"Communication, Conflict Management, Quality Time/Use of Free Time",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,24,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,"Sometimes, I guess",2,Absolutely 100%,4,Somewhat true for me,2,Often,3,Often,3,Often,3,Slightly eager,1,Very open,3,Strong,3,Mostly aligned,Somewhat strong,"Conflict Management, Forgiveness, Spiritual Intimacy",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,I don't have kids,31-40,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,24,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Absolutely, always",4,Absolutely 100%,4,Somewhat true for me,2,Often,3,Sometimes,2,Sometimes,2,Somewhat eager,2,Somewhat open,2,Rock Solid,4,Mostly aligned,Strong,Spiritual Intimacy,Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Incredibly in sync,4,Wish it was better,2,Consistently,3,When we get around to it,2,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Often,3,Sometimes,2,Very eager,3,Somewhat open,2,Strong,3,Completely aligned,Strong,"Conflict Management, Forgiveness, Quality Time/Use of Free Time",Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Rarely,3,It’s working well,3,100% satisfied,4,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Yes,3,Absolutely true for me,4,Always,4,Always,4,Often,3,Very eager,3,Very open,3,Strong,3,Mostly aligned,Strong,"Conflict Management, Serving/Encouraging Each Other, Spiritual Intimacy",Dating,2,,0-2 years,I’m a Christian,I’m coming back to my faith after some time away,2,This is my first time,I have kids 6th-12th grade,41-50,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,33,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,When we get around to it,2,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Sometimes,2,Sometimes,2,Very eager,3,Very open,3,Strong,3,Completely aligned,Somewhat strong,"Communication, Quality Time/Use of Free Time, Romance/Sexual Fulfillment",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,71,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,Incredibly in sync,4,100% satisfied,4,Consistently,3,When we get around to it,2,Every now and then,2,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Slightly true for me,1,Often,3,Often,3,Sometimes,2,Not at all eager,0,Very open,3,Strong,3,Completely aligned,Weak,"Communication, Forgiveness, Serving/Encouraging Each Other",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,51-60,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,33,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Maybe once,2,It’s working well,3,100% satisfied,4,Consistently,3,We make it a point,3,Almost always,4,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Yes,3,Absolutely true for me,4,Always,4,Always,4,Often,3,Super eager,4,Very open,3,Strong,3,Mostly aligned,Weak,"Conflict Management, Forgiveness, Spiritual Intimacy",Dating,2,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,24,6,,32,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Rarely,3,It’s working well,3,Very satisfied,3,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,Without a doubt we are in sync,4,Pretty often and it means a lot,3,"Absolutely, always",4,Yes,3,Mostly true for me,3,Always,4,Always,4,Often,3,Very eager,3,Very open,3,Strong,3,Mostly aligned,Weak,"Communication, Quality Time/Use of Free Time, Spiritual Intimacy",Dating,2,,3-5 years,I’m a Christian,I’m coming back to my faith after some time away,4,Over a year,I don't have kids,25-30,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,22,6,,33,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,It’s working well,3,Very satisfied,3,No secrets here,4,When we get around to it,2,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,"Sometimes, and I appreciate it",2,Most of the time,3,Absolutely 100%,4,Mostly true for me,3,Often,3,Sometimes,2,Sometimes,2,Somewhat eager,2,Slightly open,1,Strong,3,Completely aligned,Weak,"Conflict Management, Financial Management as a Team, Serving/Encouraging Each Other",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,I have kids K-5th grade,41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Perfectly happy,4,Never,4,It’s working well,3,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"Sometimes, when the mood is right",2,We connect very well,3,Pretty often and it means a lot,3,"Sometimes, I guess",2,Yes,3,Mostly true for me,3,Sometimes,2,Often,3,Often,3,Somewhat eager,2,Somewhat open,2,Strong,3,Mostly aligned,Strong,"Communication, Conflict Management, Quality Time/Use of Free Time",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,51-60,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,28,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Sometimes,2,Sometimes,2,Sometimes,2,Slightly eager,1,Slightly open,1,Strong,3,Somewhat aligned,Strong,"Romance/Sexual Fulfillment, Serving/Encouraging Each Other, Spiritual Intimacy",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,51-60,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,22,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Often,2,When we get around to it,2,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Absolutely, always",4,Yes,3,Mostly true for me,3,Sometimes,2,Sometimes,2,Sometimes,2,Somewhat eager,2,Somewhat open,2,Strong,3,Completely aligned,Strong,"Quality Time/Use of Free Time, Serving/Encouraging Each Other, Spiritual Intimacy",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I have adult children,71,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Perfectly happy,4,Never,4,Wish it was better,2,Very satisfied,3,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Always,4,Sometimes,2,Somewhat eager,2,Somewhat open,2,Strong,3,Mostly aligned,Somewhat strong,"Financial Management as a Team, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,"I have kids K-5th grade, I have kids 6th-12th grade",41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,31,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Often,2,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Yes,3,Mostly true for me,3,Often,3,Often,3,Often,3,Somewhat eager,2,Somewhat open,2,Strong,3,Mostly aligned,Strong,Spiritual Intimacy,Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,7,Over a year,I have adult children,71,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Never,4,It’s working well,3,Very satisfied,3,No secrets here,4,We make it a point,3,Quite often,3,"Often, we find reasons to laugh",3,We connect very well,3,All the time,4,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Often,3,Often,3,Sometimes,2,Somewhat eager,2,Slightly open,1,Strong,3,Somewhat aligned,Somewhat strong,"Forgiveness, Romance/Sexual Fulfillment, Serving/Encouraging Each Other",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,5,1-6 months,I have kids 0-5,25-30,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,34,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Very happy,3,Never,4,It’s working well,3,Very satisfied,3,Consistently,3,We make it a point,3,Quite often,3,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Mostly true for me,3,Often,3,Often,3,Sometimes,2,Somewhat eager,2,Somewhat open,2,Strong,3,Completely aligned,Somewhat strong,"Communication, Quality Time/Use of Free Time, Serving/Encouraging Each Other",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,I have adult children,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,32,8,Hopeful
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Perfectly happy,4,Never,4,It’s working well,3,Wish it was better,2,Consistently,3,We make it a point,3,Every now and then,2,"All the time, laughter is big for us",4,We connect very well,3,Pretty often and it means a lot,3,Most of the time,3,Absolutely 100%,4,Somewhat true for me,2,Often,3,Sometimes,2,Often,3,Somewhat eager,2,Somewhat open,2,Strong,3,Completely aligned,Weak,"Communication, Quality Time/Use of Free Time, Romance/Sexual Fulfillment",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,I have adult children,51-60,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,24,6,,30,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Very happy,3,Rarely,3,It’s working well,3,Very satisfied,3,No secrets here,4,We make it a point,3,Almost always,4,"Often, we find reasons to laugh",3,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Absolutely true for me,4,Always,4,Always,4,Often,3,Very eager,3,Very open,3,Rock Solid,4,Completely aligned,Somewhat strong,"Communication, Spiritual Intimacy, Trust/Honesty",Dating,2,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,7,1-6 months,I don't have kids,<18,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,25,6,,33,8,Hopeful
In a Relationship,I'm working at it but certainly not perfect,Perfectly happy,4,Never,4,Incredibly in sync,4,100% satisfied,4,No secrets here,4,When we get around to it,2,Every now and then,2,"Sometimes, when the mood is right",2,We connect very well,3,Pretty often and it means a lot,3,"Absolutely, always",4,Absolutely 100%,4,Mostly true for me,3,Sometimes,2,Sometimes,2,Sometimes,2,Somewhat eager,2,Slightly open,1,Strong,3,Completely aligned,Strong,"Communication, Conflict Management, Quality Time/Use of Free Time",Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,71,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,23,6,,32,8,Hopeful
