NAME,MONTH,CITY,STATE,ZIP_CODE,MESSAGE_COUNT
The Tennessee Mass Choir,2024-04-01 00:00:00.000 Z,Cordova,TN,38016,7975
Village Church Langley South,2022-04-01 00:00:00.000 Z,Surrey,,V3S 2N5,421
Faith Church,2024-07-01 00:00:00.000 Z,Leslie,MI,49251,1288
New Beginnings Church of Christ ,2024-05-01 00:00:00.000 Z,Olympia,WA,98506,70
Gateway Community Church,2023-04-01 00:00:00.000 Z,Lynden,WA,98264,811
Hope 107.9,2024-06-01 00:00:00.000 Z,Albany,OR,97321,3793
Hickory United EPC,2022-11-01 00:00:00.000 Z,Hickory,PA,15340,159
New Hope Presbyterian,2022-09-01 00:00:00.000 Z,Fort Myers,FL,33966,32
Marissa McClung,2023-01-01 00:00:00.000 Z,Orlando,FL,32837,46
South Henderson Pentecostal Holiness Church,2024-08-01 00:00:00.000 Z,Henderson,NC,27537,13687
Community Fort Scott,2023-11-01 00:00:00.000 Z,Fort Scott ,KS,66701,5473
Bethel Apostolic Church,2024-07-01 00:00:00.000 Z,Milwaukee,WI,53206,527
Life Changers Church,2022-11-01 00:00:00.000 Z,Fairfield,OH,45018-0094,118
The Connection Church,2024-09-01 00:00:00.000 Z,Columbia,CA,95310,1411
Advance Student Ministries,2023-06-01 00:00:00.000 Z,Skiatook,OK,74070,2
White Oak Independent Baptist Church,2024-09-01 00:00:00.000 Z,Warrior,AL,35180,4574
Hilliard Church,2024-10-01 00:00:00.000 Z,Stockton,CA,95205,78
Sunlight Community Church Lake Worth,2022-11-01 00:00:00.000 Z,Lake Worth Beach,FL,33460,105
Garden City Bible Fellowship ,2024-04-01 00:00:00.000 Z,Roanoke,VA,24014,12
Bethesda Church NW,2023-12-01 00:00:00.000 Z,Vancouver,WA,98661,700
Grand Rapids First,2024-08-01 00:00:00.000 Z,Wyoming,MI,49519,81
Gateway Community Church,2022-11-01 00:00:00.000 Z,Lynden,WA,98264,288
Dwelling Place Anaheim,2022-08-01 00:00:00.000 Z,Anaheim,CA,92807,26
CCSCabot,2024-03-01 00:00:00.000 Z,Cabot,AR,72023,1838
Influence Church,2024-08-01 00:00:00.000 Z,Arnold,MO,63010,213643
BridgePoint Church,2023-01-01 00:00:00.000 Z,Saint Petersburg,FL,33710,144
Bethesda Church NW,2024-01-01 00:00:00.000 Z,Vancouver,WA,98661,7095
Grace Living Fellowship,2023-06-01 00:00:00.000 Z,Alamogordo,NM,88310,530
White Oak Independent Baptist Church,2024-05-01 00:00:00.000 Z,Warrior,AL,35180,4912
Village Church - Young Adults,2022-09-01 00:00:00.000 Z,Bellingham,WA,98225,60
Christ Bible Church,2023-12-01 00:00:00.000 Z,Chicago,IL,60649,193
Wawasee Bible,2023-04-01 00:00:00.000 Z,Milford,IN,46542,10
Northeast Chi Alpha,2024-07-01 00:00:00.000 Z,Fairmont,WV,26554,19
The Living Word Of God ,2023-08-01 00:00:00.000 Z,Dayton,OH,45402,46
University Christian Church,2023-07-01 00:00:00.000 Z,Manhattan,KS,66502,15
New Life Church,2024-01-01 00:00:00.000 Z,Kearney,NE,68845,110
Grand Rapids First,2024-04-01 00:00:00.000 Z,Wyoming,MI,49519,33
Good News Baptist Church,2024-03-01 00:00:00.000 Z,Cedar Rapids,IA,52404,444
Wawasee Bible,2024-07-01 00:00:00.000 Z,Milford,IN,46542,94
Tulare Community Church,2022-04-01 00:00:00.000 Z,Tulare,CA,,580
God-fidence Christian Coaching LLC,2024-02-01 00:00:00.000 Z,Lenoir,NC,28645,8
Corporate Chaplains of America,2024-02-01 00:00:00.000 Z,Camp Hill,PA,17011,18
Advance Student Ministries,2024-10-01 00:00:00.000 Z,Skiatook,OK,74070,12
Northeast Chi Alpha,2024-02-01 00:00:00.000 Z,Fairmont,WV,26554,8
Edgar Christian Church,2023-07-01 00:00:00.000 Z,Edgar,NE,68935,147
DeSoto SDA Church ,2022-08-01 00:00:00.000 Z,Desoto,TX,75115,93
Ignite Youth,2024-06-01 00:00:00.000 Z,Minneapolis,MN,55430,152
Local Church Canton,2022-12-01 00:00:00.000 Z,Canton,GA,30114,10
Brazil Church of the Nazarene,2024-09-01 00:00:00.000 Z,Brazil,IN,47834,35
Edgar Christian Church,2024-10-01 00:00:00.000 Z,Edgar,NE,68935,328
Iglesia de fe,2023-09-01 00:00:00.000 Z,Allentown,PA,18102,224
Smoking For Jesus Ministry ,2023-11-01 00:00:00.000 Z,Burnet,TX,78611,14
New Life Fellowship ,2024-03-01 00:00:00.000 Z,Madison,IN,47250,7
Grace Living Fellowship,2023-07-01 00:00:00.000 Z,Alamogordo,NM,88310,84
Evangelical Church Of Christ 2,2024-02-01 00:00:00.000 Z,Kissimmee,FL,34744,487
Sunlight Community Church Lake Worth,2023-01-01 00:00:00.000 Z,Lake Worth Beach,FL,33460,15
Good News Baptist Church,2023-09-01 00:00:00.000 Z,Cedar Rapids,IA,52404,20
Bethlehem Baptist Church,2024-03-01 00:00:00.000 Z,Richmond,VA,23235,12
DeSoto SDA Church ,2024-02-01 00:00:00.000 Z,Desoto,TX,75115,22
Eastside Baptist Church,2024-09-01 00:00:00.000 Z,Marlow,OK,73055,113
The Walk,2024-09-01 00:00:00.000 Z,Frederick,MD,21701,59
Christian guidance discipleship,2023-09-01 00:00:00.000 Z,Apollo Beach,FL,33572,29
BridgePoint Church,2022-04-01 00:00:00.000 Z,Saint Petersburg,FL,33710,13
Rockland Community Church,2022-09-01 00:00:00.000 Z,North Scituate,RI,02857,65
Whosoever Will Christian Church,2024-01-01 00:00:00.000 Z,Beltsville,MD,20705,113
Vera’s ,2024-01-01 00:00:00.000 Z,Patuxent River,MD,20670,69
New Life Church,2024-03-01 00:00:00.000 Z,Trumbull,CT,06611,197
THE HOT CHURCH,2024-09-01 00:00:00.000 Z,WACAHACHIE,TX,75165,8
Magnolia Springs Wesleyan Church,2023-07-01 00:00:00.000 Z,Magnolia Springs,AL,36555,2
Art & Culture,2025-01-01 00:00:00.000 Z,Wheaton,IL,60187,480
Life.Church Fort Worth LifeKids,2025-02-01 00:00:00.000 Z,Fort Worth,TX,76123,146
Deliverance Tabernacle,2025-02-01 00:00:00.000 Z,Pasadena,CA,91103,105
University Christian Church,2025-02-01 00:00:00.000 Z,Manhattan,KS,66502,5
Bethel Baptist Church,2024-03-01 00:00:00.000 Z,Hillsville,VA,24343,34
New Sardis Baptist Church,2024-09-01 00:00:00.000 Z,Memphis,TN,38125,2
Wilson AME Zion Churche,2023-07-01 00:00:00.000 Z,Wilson,NC,27893,8
Big Zion AME Zion Church ,2024-04-01 00:00:00.000 Z,Mobile,AL,36602,1
Clarence First Church of the Nazarene,2023-08-01 00:00:00.000 Z,Clarence,MO,63437,4
Cartecay Baptist Church,2024-10-01 00:00:00.000 Z,Ellijay,GA,30536,580
Paris Collab.,2025-01-01 00:00:00.000 Z,Paris,TX,75460,2
Anchor Point Church,2022-08-01 00:00:00.000 Z,Rio Rancho,NM,87144,4
Diane Sellers,2023-09-01 00:00:00.000 Z,Kingsburg,CA,93631,3
EKU BCM,2025-02-01 00:00:00.000 Z,Richmond,KY,40475,1038
Baps Parsippany,2025-01-01 00:00:00.000 Z,Parsippany,NJ,07054,747
Alsbury Baptist,2024-01-01 00:00:00.000 Z,Burleson,TX,76028,18
Rū Tampa,2025-02-01 00:00:00.000 Z,Tampa,FL,33672,7041
Beacon Church,2025-02-01 00:00:00.000 Z,Albertson,NY,11507,41
New Life Christian Center: Helping Hands for Mental Wellness,2025-02-01 00:00:00.000 Z,San Antonio,TX,78245,65
Victory Family Church (Newcastle),2025-01-01 00:00:00.000 Z,Newcastle,OK,73065,7449
New Hope Missionary Baptist Church,2024-11-01 00:00:00.000 Z,Winston Salem,NC,27105,2765
First Baptist Bad Axe (FBBA),2024-11-01 00:00:00.000 Z,Bad Axe,MI,48413,659
New Experience Fellowship,2024-11-01 00:00:00.000 Z,Saint Louis,MO,63111,366
Abundant Life Bryan,2024-11-01 00:00:00.000 Z,Bryan,TX,77806,558
Christ’s Community Youth,2024-12-01 00:00:00.000 Z,Joplin,MO,64804,2698
LifeBridge Community Church ,2024-10-01 00:00:00.000 Z,Fresno,CA,93722,108281
Nexus Church,2024-08-01 00:00:00.000 Z,Worthington,OH,43085,10700
Nexus Church,2023-03-01 00:00:00.000 Z,Worthington,OH,43085,3716
Faith Church,2023-04-01 00:00:00.000 Z,Fort Collins,CO,80526,161
Beacon Church,2024-10-01 00:00:00.000 Z,Albertson,NY,11507,138
West Liberty Christian Church,2024-06-01 00:00:00.000 Z,West Liberty,KY,41472,1361
Calvary Baptist Church,2024-10-01 00:00:00.000 Z,Minden,LA,71055,10642
FUMC Bells/Tom Bean,2023-09-01 00:00:00.000 Z,Bells,TX,75414,66
Houston River Baptist Church,2024-04-01 00:00:00.000 Z,Sulphur,LA,70663,5076
The Way Church,2024-06-01 00:00:00.000 Z,Livonia,MI,48150,138
Journey Church,2023-10-01 00:00:00.000 Z,Roanoke,VA,24019,4152
Holy Temple Missionary Baptist Church,2024-06-01 00:00:00.000 Z,Memphis,TN,38128,1966
The Bridge North County,2024-07-01 00:00:00.000 Z,Saint Louis,MO,63135,391
Skyline Church,2025-01-01 00:00:00.000 Z,O Fallon,IL,62269,970
Bethel Community Chruch,2024-03-01 00:00:00.000 Z,Magnolia,AR,71753,812
Servant Hearted Sisterhood,2024-09-01 00:00:00.000 Z,Green Forest,AR,72638,137540
Phoenix Bible Church,2024-03-01 00:00:00.000 Z,Phoenix,AZ,85013,5732
bwheinfeld@gmail.com,2022-02-01 00:00:00.000 Z,New Haven,IN,46774,1328
City Gate Atlanta ,2024-01-01 00:00:00.000 Z,Peachtree Corners,GA,30071,187
Journey Church,2023-11-01 00:00:00.000 Z,Roanoke,VA,24019,3913
New Hope Missionary Baptist Church,2024-08-01 00:00:00.000 Z,Winston Salem,NC,27105,3841
Faith Hope Love House of Prayer,2023-07-01 00:00:00.000 Z,Columbus,OH,43235,66
"Strong Tower Christian Fellowship, Church OF GOD OF PROPHECY",2023-10-01 00:00:00.000 Z,Ormond Beach,FL,32174,203
Beginning Anew Life COM,2023-12-01 00:00:00.000 Z,Cheraw,SC,29520,158
Servant Hearted Sisterhood,2024-03-01 00:00:00.000 Z,Green Forest,AR,72638,58067
Beacon Church,2024-08-01 00:00:00.000 Z,Albertson,NY,11507,237
Phoenix Bible Church,2024-04-01 00:00:00.000 Z,Phoenix,AZ,85013,5324
Hancock Whitney,2023-05-01 00:00:00.000 Z,New York,NY,10001,2
CBBC Anchor of Hope MInistries,2023-03-01 00:00:00.000 Z,Elbridge,NY,13060,223
Decibel Church,2023-06-01 00:00:00.000 Z,Beaufort,SC,29906,96
Bethlehem Temple Church,2024-07-01 00:00:00.000 Z,Flint,MI,48505,711
Crossing YTH,2023-10-01 00:00:00.000 Z,Dothan,AL,36301,2336
Hereford Nazarene Family Church,2023-11-01 00:00:00.000 Z,Hereford,TX,79045,11269
NorthPointe Church of God,2023-11-01 00:00:00.000 Z,Nacogdoches,TX,75965,914
Christian Life Church,2024-01-01 00:00:00.000 Z,Lewiston,NY,14092,4
Faith Hope Love House of Prayer,2024-01-01 00:00:00.000 Z,Columbus,OH,43235,43
Discover Life Church ,2023-09-01 00:00:00.000 Z,Johnson City,TN,37601,4
Faith Church,2024-05-01 00:00:00.000 Z,Fort Collins,CO,80526,35
Harvest Church Denver,2024-08-01 00:00:00.000 Z,Aurora,CO,80014,6496
Grace World Outreach Church,2023-08-01 00:00:00.000 Z,Brooksville,FL,34601,146
Temple Baptist Church,2024-04-01 00:00:00.000 Z,Texas City,TX,77592,3767
Cre8vLife,2023-10-01 00:00:00.000 Z,Millington,TN,38053,573
Kainos Church,2024-02-01 00:00:00.000 Z,Portland,OR,97220,103
Ocean View Church,2024-03-01 00:00:00.000 Z,San Diego,CA,92154,37519
Mint for More,2022-09-01 00:00:00.000 Z,Colorado Springs,CO,80907,264
Living Water Community Church SA,2024-03-01 00:00:00.000 Z,San Antonio,TX,78238,4
Rusk Bible Church,2024-09-01 00:00:00.000 Z,Jacksonville,TX,75766,986
Mint for More,2023-04-01 00:00:00.000 Z,Colorado Springs,CO,80907,22
Crossing YTH,2024-02-01 00:00:00.000 Z,Dothan,AL,36301,3457
Kingdom City Church,2024-09-01 00:00:00.000 Z,Charlotte,NC,28216,298671
Cave Springs Church of Christ ,2024-08-01 00:00:00.000 Z,Cave Springs,AR,72718,1344
Trinity Church,2024-07-01 00:00:00.000 Z,Lakeville,MN,55044,22
Faith Hope Love House of Prayer,2023-10-01 00:00:00.000 Z,Columbus,OH,43235,20
Old Bethel Baptist Church ,2024-12-01 00:00:00.000 Z,Chickamauga,GA,30707,671
2416 Ministries,2024-12-01 00:00:00.000 Z,Anna,TX,75409,6030
Columbus Free Methodist Church,2024-04-01 00:00:00.000 Z,Columbus,IN,47201,1739
First Christian Church of Scottsburg,2023-04-01 00:00:00.000 Z,Scottsburg,IN,47170,20
Mint for More,2022-10-01 00:00:00.000 Z,Colorado Springs,CO,80907,635
Canyons Church,2024-03-01 00:00:00.000 Z,Clarkston,WA,99403,7
City Church,2024-02-01 00:00:00.000 Z,Pueblo,CO,81003,3371
Zowie,2023-11-01 00:00:00.000 Z,Martinsville,VA,24112,36
St. Michael's Anglican Church,2023-09-01 00:00:00.000 Z,Broken Arrow,OK,74012,456
Abundant Life Bryan,2024-05-01 00:00:00.000 Z,Bryan,TX,77806,631
New City Church Macon,2024-08-01 00:00:00.000 Z,Macon,GA,31210,23
Harvest Church Denver,2024-03-01 00:00:00.000 Z,Aurora,CO,80014,3966
Living Word Restoration Ministries,2023-05-01 00:00:00.000 Z,Baton Rouge,LA,70811,15
Mcadenville wesleyan ,2024-09-01 00:00:00.000 Z,Mc Adenville,NC,28056,160
Christ Lincoln Connections,2024-10-01 00:00:00.000 Z,Lincoln,NE,68506,1683
City Church,2024-09-01 00:00:00.000 Z,Pueblo,CO,81003,1933
"Strong Tower Christian Fellowship, Church OF GOD OF PROPHECY",2022-12-01 00:00:00.000 Z,Ormond Beach,FL,32174,170
New Vision International Ministries  Inc,2023-04-01 00:00:00.000 Z,Pensacola,FL,32505,215
Liberty Baptist Church,2024-01-01 00:00:00.000 Z,Spokane,WA,99218,1536
New Covenant Church of Cartersviile ,2023-06-01 00:00:00.000 Z,Cartersville,GA,30121,31
Good Shepherd Ministries International ,2023-10-01 00:00:00.000 Z,San Diego,CA,92124,23
Church City USA,2023-09-01 00:00:00.000 Z,Jamaica,NY,11435,3
Christian Life Church,2023-11-01 00:00:00.000 Z,Lewiston,NY,14092,179
Canyons Church,2023-02-01 00:00:00.000 Z,Clarkston,WA,99403,13
Bethel AME Cambridge MD,2024-11-01 00:00:00.000 Z,Cambridge,MD,21613,477
bwheinfeld@gmail.com,2023-09-01 00:00:00.000 Z,New Haven,IN,46774,499
City Church,2023-07-01 00:00:00.000 Z,Pueblo,CO,81003,1210
SIC Ministries of Michigan,2024-06-01 00:00:00.000 Z,New Hudson,MI,48165,141
ConnectUs Church,2023-10-01 00:00:00.000 Z,Lancaster,PA,17601,1533
Juventud Ungida,2024-03-01 00:00:00.000 Z,Pontiac,MI,48340,2236
Village Church,2023-01-01 00:00:00.000 Z,Beverly Hills,CA,90210,89
Trinity Church,2023-10-01 00:00:00.000 Z,Lakeville,MN,55044,34
The Way Church,2024-07-01 00:00:00.000 Z,Livonia,MI,48150,56
City Church,2024-06-01 00:00:00.000 Z,Pueblo,CO,81003,1571
Connection Church,2024-05-01 00:00:00.000 Z,Saint Elmo,IL,62458,129
My Brother's Keeper (ImpactTulsa),2024-06-01 00:00:00.000 Z,Tulsa,OK,74120,644
Mount Pleasnt Methodist Church,2023-10-01 00:00:00.000 Z,Andersonville,TN,37705,14
Harvest Church Denver,2023-06-01 00:00:00.000 Z,Aurora,CO,80014,85
Encompass World Partners,2023-11-01 00:00:00.000 Z,Atlanta,GA,30340,13
Canyons Church,2023-06-01 00:00:00.000 Z,Clarkston,WA,99403,43
Way Church,2025-01-01 00:00:00.000 Z,Gilbert,AZ,85295,129
Trinity Church,2023-09-01 00:00:00.000 Z,Lakeville,MN,55044,8
Kainos Church,2024-07-01 00:00:00.000 Z,Portland,OR,97220,30
St. Mark Lutheran Church,2024-08-01 00:00:00.000 Z,Santa Rosa,CA,95405,2
Church of God and Saints of Christ - Joshua Generation,2024-01-01 00:00:00.000 Z,Belleville,NJ,07109,41
BFCNaz,2023-04-01 00:00:00.000 Z,Bartlesville,OK,74006,4
Columbus Free Methodist Church,2023-05-01 00:00:00.000 Z,Columbus,IN,47201,8
Tabernacle Baptist Church,2024-02-01 00:00:00.000 Z,George,IA,51237,2
Valleyview Evangelical Organization,2024-07-01 00:00:00.000 Z,Delaware,OH,43015,308
Abraham Gonzalez II,2023-08-01 00:00:00.000 Z,Gadsden,AL,35905,8
Thryve Mobile,2021-07-01 00:00:00.000 Z,San Jose,CA,,11
First Christian Church of Scottsburg,2024-03-01 00:00:00.000 Z,Scottsburg,IN,47170,1
Fair Oaks United Methodist Church,2023-06-01 00:00:00.000 Z,Fair Oaks,CA,95628,10
Grove Hill Church,2023-11-01 00:00:00.000 Z,Chapel Hill,TN,37034,5
First United Presbyterian Church ,2023-01-01 00:00:00.000 Z,Athens,TN,37303,5
Sarah Yant,2024-05-01 00:00:00.000 Z,Birmingham,AL,35242,17
CBBC Anchor of Hope MInistries,2023-07-01 00:00:00.000 Z,Elbridge,NY,13060,3
Kingdom House,2023-11-01 00:00:00.000 Z,Macclenny,FL,32063,2
My Brother's Keeper (ImpactTulsa),2025-02-01 00:00:00.000 Z,Tulsa,OK,74120,720
Church of God and Saints of Christ - Joshua Generation,2025-02-01 00:00:00.000 Z,Belleville,NJ,07109,1
Bullard Methodist Church,2024-06-01 00:00:00.000 Z,Bullard,TX,75757,3764
Hastings Evangelical Free Church,2023-07-01 00:00:00.000 Z,Hastings,NE,68901,17
Eastside Church of the Nazarene,2025-01-01 00:00:00.000 Z,Gastonia,NC,28056,61
Nino Baffa,2025-02-01 00:00:00.000 Z,Willoughby,OH,44094,743
Chris Becker ,2025-01-01 00:00:00.000 Z,Biloxi,MS,39531,562
New Song Church Bellingham,2025-01-01 00:00:00.000 Z,Bellingham,WA,98226,2386
Connection College,2025-01-01 00:00:00.000 Z,Spearfish,SD,57783,186
Northview Church,2024-03-01 00:00:00.000 Z,Kodak,TN,37764,3748
StoneBridge Christian Church,2024-09-01 00:00:00.000 Z,Omaha,NE,68116,990
First Alliance Church Toledo,2023-11-01 00:00:00.000 Z,Toledo,OH,43604,42
Living Faith Community Church,2023-10-01 00:00:00.000 Z,Philomath,OR,97370,1873
Rescue House Church,2023-05-01 00:00:00.000 Z,Fargo,ND,58104,2182
Central Assembly of God,2022-12-01 00:00:00.000 Z,Vero Beach,FL,32966,355
The Maranatha Project,2023-07-01 00:00:00.000 Z,Broken Arrow,OK,74012,1737
PAUMC - Fresh Start Church,2024-10-01 00:00:00.000 Z,Pine City,NY,14871,22525
SRC Church of the Nazarene,2023-04-01 00:00:00.000 Z,North Royalton,OH,44133,139
Spring Upward,2024-05-01 00:00:00.000 Z,Johnson City,TN,37604,28
Trinity Assembly of God,2024-11-01 00:00:00.000 Z,Ligonier,IN,46767,1339
Man in the Mirror - Southern Indiana,2024-11-01 00:00:00.000 Z,Bedford,IN,47421,2770
StoneBridge Christian Church,2024-11-01 00:00:00.000 Z,Omaha,NE,68116,8878
The Corner Church,2024-11-01 00:00:00.000 Z,Moncks Corner,SC,29461,1928
71Five Grants Pass City,2024-11-01 00:00:00.000 Z,Medford,OR,97501,2436
Celebration Church,2024-12-01 00:00:00.000 Z,Tampa,FL,33613,22
Church of Christ at Federal Way,2025-01-01 00:00:00.000 Z,Federal Way,WA,98003,44
New Song Church Bellingham,2024-09-01 00:00:00.000 Z,Bellingham,WA,98226,6093
Hope Christian Church,2024-09-01 00:00:00.000 Z,Indianapolis,IN,46239,88
Mt. Moriah Community Church Raleigh,2024-09-01 00:00:00.000 Z,Raleigh,NC,27604,14635
New Testament Christian Church of Aurora,2024-09-01 00:00:00.000 Z,Graham,WA,98338,98719
Central Assembly of God,2022-11-01 00:00:00.000 Z,Vero Beach,FL,32966,581
Letha's 1Stop Shop ,2023-07-01 00:00:00.000 Z,Davidson,NC,28036,175
Greater McIntyre Chapel Baptist Church ,2024-04-01 00:00:00.000 Z,Terrell,TX,75160,40
Life Fellowship Church,2023-09-01 00:00:00.000 Z,McKinney,TX,75070,71
Integrate Christian Counseling,2024-02-01 00:00:00.000 Z,Chattanooga,TN,37404,83
"ESOCS Mount OF Blessing, Qns",2023-03-01 00:00:00.000 Z,Richmond Hill,NY,11418,1730
Thrive Peer Support,2023-01-01 00:00:00.000 Z,Solon,OH,44139,628
Soba Church,2024-05-01 00:00:00.000 Z,Fort Worth,TX,76131,406
IBC,2024-05-01 00:00:00.000 Z,Tallahassee,FL,32308,4
Living Faith Church,2024-04-01 00:00:00.000 Z,Princeton,IL,61356,20
First Alliance Church Toledo,2023-12-01 00:00:00.000 Z,Toledo,OH,43604,104
Watts Empowerment Center,2022-11-01 00:00:00.000 Z,Los Angeles,CA,90059,10266
The Angel Heart Foundation,2024-02-01 00:00:00.000 Z,Cleveland,OH,44112,481
African Methodist Episcopal Zion Church on the Hill ,2023-09-01 00:00:00.000 Z,New York,NY,10032,90
Man in the Mirror - Southern Indiana,2023-09-01 00:00:00.000 Z,Bedford,IN,47421,1916
North Hill Christian Church,2024-07-01 00:00:00.000 Z,Seattle,WA,98198,985
Hilltop Church of the Nazarene,2024-02-01 00:00:00.000 Z,Tyler,TX,75707,893
Brown Missionary Baptist Church,2023-09-01 00:00:00.000 Z,Southaven,MS,38671,1483215
Ambassador Global Church,2024-09-01 00:00:00.000 Z,Center Barnstead,NH,03225,2810
The Prayer Ministry,2024-08-01 00:00:00.000 Z,Summerdale,AL,36580,4459
"Village Bible Church, Aurora Campus",2023-05-01 00:00:00.000 Z,Aurora,IL,60506,31
The Well,2024-09-01 00:00:00.000 Z,Vacaville,CA,95687,575
Cathedral of the Rockies,2024-02-01 00:00:00.000 Z,Boise,ID,83702,657
Hope Christian Church,2022-05-01 00:00:00.000 Z,Indianapolis,IN,46239,24
The Table Community,2023-12-01 00:00:00.000 Z,Plant City,FL,33565,246
Resilient Church,2024-10-01 00:00:00.000 Z,Vermillion,SD,57069,4214
Community,2024-01-01 00:00:00.000 Z,Willard,MO,65781,10
Little Hills Church,2024-07-01 00:00:00.000 Z,Saint Charles,MO,63301,144
Spring Upward,2023-12-01 00:00:00.000 Z,Johnson City,TN,37604,248
Saint Pishoy Church,2024-10-01 00:00:00.000 Z,Nashville,TN,37013,5870
Grace Bible Church,2023-09-01 00:00:00.000 Z,Dallas,TX,75229,108
Iglesia Corona Del Rey,2024-01-01 00:00:00.000 Z,Corona,CA,92879,670
The Prayer Ministry,2024-12-01 00:00:00.000 Z,Summerdale,AL,36580,2045
Watts Empowerment Center,2022-12-01 00:00:00.000 Z,Los Angeles,CA,90059,10415
The Angel Heart Foundation,2024-07-01 00:00:00.000 Z,Cleveland,OH,44112,40
Pavilion of Hope,2024-03-01 00:00:00.000 Z,Memphis,TN,38115,1545
First Alliance Church Toledo,2022-10-01 00:00:00.000 Z,Toledo,OH,43604,16
Calvary Baptist Church,2023-12-01 00:00:00.000 Z,Coldwater,MS,38618,59
Trinity Assembly of God,2024-06-01 00:00:00.000 Z,Ligonier,IN,46767,100
"Village Bible Church, Aurora Campus",2023-03-01 00:00:00.000 Z,Aurora,IL,60506,20
King's Cross Church,2023-02-01 00:00:00.000 Z,Manchester,NH,03103,12
MacArthur Blvd Baptist Church,2024-10-01 00:00:00.000 Z,Irving,TX,75063,10
St. John The Evangelist Catholic Church,2024-08-01 00:00:00.000 Z,San Antonio,TX,78212,2000
LifeQuest Church,2024-09-01 00:00:00.000 Z,Belton,MO,64012,50
Cathedral of the Rockies,2024-06-01 00:00:00.000 Z,Boise,ID,83702,731
Stafford Crossing Community Church,2024-09-01 00:00:00.000 Z,Fredericksburg,VA,22405,76
Lebanon Community Methodist Church,2023-04-01 00:00:00.000 Z,Lebanon,OH,45036,1291
Free Life Ministries,2023-09-01 00:00:00.000 Z,Albany,GA,31705,145
Calvary Salt Lake,2023-02-01 00:00:00.000 Z,Salt Lake City,UT,84123,29
Spring Upward,2024-06-01 00:00:00.000 Z,Johnson City,TN,37604,4
GrandPrairie SDA Church,2022-09-01 00:00:00.000 Z,Grand Prairie,TX,75052,40
Aggaagiapa,2023-08-01 00:00:00.000 Z,San Juan,PR,00926,10
First Evangelical Free Church Brooklyn NY,2024-08-01 00:00:00.000 Z,Brooklyn,NY,11220,69
MacArthur Blvd Baptist Church,2024-08-01 00:00:00.000 Z,Irving,TX,75063,50
New Song Church Bellingham,2024-10-01 00:00:00.000 Z,Bellingham,WA,98226,56
Central Baptist Church,2024-03-01 00:00:00.000 Z,Itasca,TX,76055,435
First Evangelical Free Church Brooklyn NY,2024-10-01 00:00:00.000 Z,Brooklyn,NY,11220,101
Center Counseling Community,2022-11-01 00:00:00.000 Z,Bismarck,ND,58501,77
Soba Church,2023-02-01 00:00:00.000 Z,Fort Worth,TX,76131,343
Life Fellowship Church,2023-08-01 00:00:00.000 Z,McKinney,TX,75070,108
Wesleyan Church,2024-02-01 00:00:00.000 Z,Fishers,IN,46037,3
Grace Baptist Church ,2024-12-01 00:00:00.000 Z,Madison,NC,27025,190
Central Baptist Church,2024-12-01 00:00:00.000 Z,Itasca,TX,76055,276
South Middlesex Baptist Church,2024-03-01 00:00:00.000 Z,Framingham,MA,01702,7
Venice Presbyterian Church,2023-02-01 00:00:00.000 Z,Venice,FL,34285,6
Washington Community Fellowship,2024-11-01 00:00:00.000 Z,Washington,DC,20002,2
R3 Church,2024-06-01 00:00:00.000 Z,Darby,PA,19023,1
One Body Covenant Fellowship,2024-09-01 00:00:00.000 Z,Steubenville,OH,43952,421
St. John The Evangelist Catholic Church,2024-10-01 00:00:00.000 Z,San Antonio,TX,78212,471
Pacific Life Church,2024-01-01 00:00:00.000 Z,San Diego,CA,92109,3
Eastside Church of the Nazarene,2022-07-01 00:00:00.000 Z,Gastonia,NC,28056,30
The Timothy Initiative,2024-04-01 00:00:00.000 Z,Raleigh,NC,27613,132
Living Water Church,2023-04-01 00:00:00.000 Z,Kittanning,PA,16201,10
Zion Temple Tyler,2024-09-01 00:00:00.000 Z,Tyler,TX,75702,12
Community,2024-04-01 00:00:00.000 Z,Willard,MO,65781,4
Messiah’s Independent Reformed Church ,2025-01-01 00:00:00.000 Z,Holland,MI,49423,1
Linden Road Presbyterian Church,2024-05-01 00:00:00.000 Z,Mansfield,OH,44906-3028,15
Mountain Top Alliance,2023-09-01 00:00:00.000 Z,Snow Shoe,PA,16874,6
Our Savior Lutheran,2023-07-01 00:00:00.000 Z,San Antonio,TX,78253,3
Christ Community Church,2022-11-01 00:00:00.000 Z,Denver,CO,80231,6
Grace Connection Church ,2024-07-01 00:00:00.000 Z,Miami,FL,33176,140
Exponential Español,2024-04-01 00:00:00.000 Z,Long Beach,CA,90803,2
Calvary Baptist Church,2024-03-01 00:00:00.000 Z,Oxford,MS,38655,1
Living Faith Church,2024-06-01 00:00:00.000 Z,Princeton,IL,61356,6
Living Hope community church,2024-05-01 00:00:00.000 Z,Hopedale,IL,61747,1
Westchester Church,2025-02-01 00:00:00.000 Z,Des Moines,IA,50310,21
Reach Church,2025-02-01 00:00:00.000 Z,Pratt,KS,67124,3
Life.Church,2023-03-01 00:00:00.000 Z,Frankfort,KY,40601,27
Journey Church Livonia,2025-01-01 00:00:00.000 Z,Livonia,MI,48154,108
"New Bridge, Inc. ",2025-01-01 00:00:00.000 Z,Cleveland,OH,44115,320
